Model Spend_Optim

  Variables:
    edlp : Size=312, Index=edlp_index
        Key     : Lower : Value              : Upper : Fixed : Stale : Domain
        (1, 22) :  0.95 : 0.9997498569274138 :     1 : False : False : NonNegativeReals
        (1, 23) :  0.95 : 0.9997480060724626 :     1 : False : False : NonNegativeReals
        (1, 24) :  0.95 : 0.9997465501844695 :     1 : False : False : NonNegativeReals
        (1, 25) :  0.95 : 0.9997487780259303 :     1 : False : False : NonNegativeReals
        (1, 26) :  0.95 : 0.9997530360485599 :     1 : False : False : NonNegativeReals
        (1, 27) :  0.95 : 0.9997463516180143 :     1 : False : False : NonNegativeReals
        (1, 28) :  0.95 : 0.9997476446481086 :     1 : False : False : NonNegativeReals
        (1, 29) :  0.95 : 0.9997456075569536 :     1 : False : False : NonNegativeReals
        (1, 30) :  0.95 : 0.9997491734425494 :     1 : False : False : NonNegativeReals
        (1, 31) :  0.95 : 0.9997476937021778 :     1 : False : False : NonNegativeReals
        (1, 32) :  0.95 : 0.9997457989930187 :     1 : False : False : NonNegativeReals
        (1, 33) :  0.95 : 0.9997467494727394 :     1 : False : False : NonNegativeReals
        (1, 34) :  0.95 :  0.999752829257894 :     1 : False : False : NonNegativeReals
        (1, 35) :  0.95 : 0.9997474733741604 :     1 : False : False : NonNegativeReals
        (1, 36) :  0.95 : 0.9997443846536299 :     1 : False : False : NonNegativeReals
        (1, 37) :  0.95 : 0.9997435463724785 :     1 : False : False : NonNegativeReals
        (1, 38) :  0.95 : 0.9997437083545505 :     1 : False : False : NonNegativeReals
        (1, 39) :  0.95 : 0.9997495639647498 :     1 : False : False : NonNegativeReals
        (1, 40) :  0.95 : 0.9997486273843057 :     1 : False : False : NonNegativeReals
        (1, 41) :  0.95 : 0.9997490972059911 :     1 : False : False : NonNegativeReals
        (1, 42) :  0.95 : 0.9997471832075597 :     1 : False : False : NonNegativeReals
        (1, 43) :  0.95 : 0.9997507899958215 :     1 : False : False : NonNegativeReals
        (1, 44) :  0.95 : 0.9997523459531503 :     1 : False : False : NonNegativeReals
        (1, 45) :  0.95 : 0.9997509210406232 :     1 : False : False : NonNegativeReals
        (1, 46) :  0.95 : 0.9997518848060982 :     1 : False : False : NonNegativeReals
        (1, 47) :  0.95 : 0.9997503610488799 :     1 : False : False : NonNegativeReals
        (1, 48) :  0.95 : 0.9997514801444684 :     1 : False : False : NonNegativeReals
        (1, 49) :  0.95 : 0.9997561341875195 :     1 : False : False : NonNegativeReals
        (1, 50) :  0.95 : 0.9997664716742066 :     1 : False : False : NonNegativeReals
        (1, 51) :  0.95 : 0.9997610207696851 :     1 : False : False : NonNegativeReals
         (2, 0) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 1) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 2) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 3) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 4) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 5) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 6) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 7) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 8) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
         (2, 9) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 10) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 11) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 12) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 13) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 14) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 15) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 16) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
        (2, 17) :  0.95 :                1.0 :     1 : False : False : NonNegativeReals
